id;cnc_nb;visa_nb;title;movie_type;has_ad;movie_public
97;1900006971;036103;JE TU ELLES;FANTASTIQUE;;
98;1900007018;036264;PAS DE GUE DANS LE FEU;GUERRE;;
99;1900007129;036987;RAYA ET SEQUINA;DRAME;;
100;1900007402;038612;NOUS NE VIEILLERONS PAS ENSEMBLE;DRAME;;
101;1900007460;038820;CIAO FEDERICO;DOCUMENTAIRE;;TP
102;1900007477;038926;BADMAN S TERRITORY;WESTERN;;
103;1900007679;040001;SERENADE A TROIS;COMEDIE;;
104;1900007746;040308;RUE DES FLEURS;COMEDIE DRAMATIQUE;;TP
105;1900007801;040579;SIMON BOLIVAR;DRAME;;TP
106;1900007850;040800;SWEET SWEETBACK S BAADASS SONG;POLICIER;;
107;1900008041;041759;LA REGION CENTRALE;DOCUMENTAIRE;;
108;1900008500;043855;LA SYMPHONIE DES BRIGANDS;MUSICAL;;
109;1900008708;044819;ZONE INTERDITE;DRAME;;
110;1900008710;044822;LES VACANCES DE L INSPECTEUR TAHAR;COMEDIE;;TP
111;1900008735;044878;TEENAGE STEPMOTHER;XPORNO;;
112;1900008761;044988;THE MANXMAN;THRILLER;;
113;1900008824;045239;DEN MUSO;DRAME;;
114;1900008986;045911;MON ENFANCE;COMEDIE DRAMATIQUE;;
115;1900008990;045915;LIBERA AMORE MIO;DRAME;;
116;1900009042;046186;COUP DE FOUDRE;DRAME;;
117;1900009105;046376;DETENU EN ATTENTE DE JUGEMENT;DRAME;;TP
118;1900009165;046629;ILSA LA LOUVE DES SS;HORREUR;;TP
119;1900009287;047075;LE VERTIGE;DRAME;;
120;1900009294;047090;BERCEAU DE CRISTAL;DRAME;;
121;1900009396;047530;LA BULLE;DRAME;;ND
122;1900009598;048127;L IMPLACABLE REVANCHE;WESTERN;;
123;1900009620;048227;LANGLOIS MUSEE DU CINEMA;DRAME;;
124;1900009645;048335;BRIGADE ANTI RACKET;POLICIER;;
125;1900009662;048410;L AMBITIEUX;DRAME;;
126;1900009781;048906;L'HOMME ET LA VAGUE;DRAME;;
127;1900009882;049253;LE PROCES DE NUREMBERG;DOCUMENTAIRE;;
128;1900009988;049630;ALBERT CAMUS;DOCUMENTAIRE;;
129;1900010010;049698;MIREILLE DANS LA VIE DES AUTRES;DRAME;;
130;1900010011;049718;LES TETES SONT ENCORE DANS L ILE;AVENTURES;;
131;1900010107;050135;LE TUNNEL;THRILLER;;TP
132;1900010122;050203;BLANCHE NEIGE;DRAME;;
133;1900010130;050232;LES NOUVEAUX DRAGUEURS;EROTIQUE;;TP
134;1900010172;050492;LES FETES SOIXANTENAIRES DU SIGUI 1967 1973;DOCUMENTAIRE;;
135;1900010198;050573;LE LAC DES CYGNES, BALLET BOLCHOI;MUSICAL;;
136;1900010255;050786;THE FRESHMAN;COMEDIE;;TP
137;1900010256;050787;KID BROTHER;COMEDIE;;TP
138;1900010259;050791;SPEEDY;COMEDIE;;TP
139;1900010260;050792;GIRL SHY;COMEDIE;;TP
140;1900010383;051124;LE PRIX DE LA SURVIE;DRAME;;
141;1900010432;051286;LE MAGE;AVENTURES;;
142;1900010470;051396;LE PORNOGRAPHE;DRAME;;TP
143;1900010533;051651;L AN PROCHAIN EN AQUITAINE;DOCUMENTAIRE;;
144;1900010535;051656;FAD JAL;DOCUMENTAIRE;;
145;1900010655;052082;ANGOISSE;HORREUR;;
146;1900010715;052244;A PERTE DE VUE;DRAME;;
147;1900010724;052296;NINA;DRAME;;
148;1900010728;052304;CONFIDENCES D UN PLAY BOY;XPORNO;;
149;1900010749;052412;SQUADRA ANTIMAFIA;COMEDIE;;
150;1900010776;052523;QUE VIVA MEXICO;DOCUMENTAIRE;;TP
151;1900010779;052528;L ETOILE DE L ESPOIR;DRAME;;
152;1900010780;052529;LES AVENTURES DE ZOUKI;AVENTURES;;
153;1900010796;052618;HAUTE SURVEILLANCE;DRAME;;
154;1900010798;052633;LES AVENTURES DE DOLLY;AVENTURES;;
155;1900010842;052812;UNE JOURNEE EN TAXI;DRAME;;
156;1900010849;052855;ZOOM;AVENTURES;;
157;1900010908;053137;PLAISIRS D AMOURS;XPORNO;;
158;1900010918;053178;DU PLAISIR ET DES LARMES;DRAME;;
159;1900010985;053398;UNE MAISON BIEN TRANQUILLE;THRILLER;;
160;1900011017;053520;TONY;DRAME;;
161;1900011025;053550;FAUBOURG MONTMARTRE;DRAME;;
162;1900011129;053903;LES BREBIS DU FIRMAMENT;DRAME;;
163;1900011138;053941;DEUX FILLES POUR UNE ARNAQUE;THRILLER;;
164;1900011210;054179;RIVIERE SAUVAGE;THRILLER;;
165;1900011213;054186;LE CINEMA AFRICAIN;DOCUMENTAIRE;;
166;1900011215;054189;PARADE DE L ECOLOGIE;DOCUMENTAIRE;;
167;1900011336;054550;LA FILLE AU SLIP TRANSPARENT;XPORNO;;
168;1900011398;054686;LE BAL;MUSICAL;;
169;1900011418;054774;LA NUIT DES MOTARDS;DRAME;;
170;1900011428;054840;26 JOURS DE DOSTOIEVSKY;BIOGRAPHIE;;TP
171;1900011449;054923;PEAU DE MIEL;ANIMATION;;
172;1900011510;055115;UN SCOOP DE TROP;THRILLER;;
173;1900011536;055197;LES NUITS DE XAVIERA;DRAME;;
174;1900011540;055210;EVA FEMME PROSTITUEE;DRAME;;
175;1900011541;055212;VIOLENCE;DRAME;;
176;1900011542;055213;FOLIE D AMOUR;DRAME;;
177;1900011591;055334;ENSEMBLE C EST UN BORDEL SEPARES C EST UN DESARTRE;COMEDIE;;
178;1900011629;055502;LES AVENTURES EXTRAORDINAIRES DE LA COMTESSE DE VULPIANI;AVENTURES;;
179;1900011636;055530;MINETTES POUR VICIEUX;XPORNO;;
180;1900011647;055550;SI J AVAIS MILLE ANS;THRILLER;;
181;1900011649;055555;LES LIAISONS DANGEREUSES 82;DRAME;;
182;1900011659;055582;FREQUENCE PERDUE;DRAME;;
183;1900011729;055845;MANNEQUIN;FANTASTIQUE;;
184;1900011747;055916;L ANE QUI JOUE DE LA LYRE;DRAME;;
185;1900011752;055946;L AFRIQUE DU SUD NOUS APPARTIENT;DOCUMENTAIRE;;
186;1900011767;055993;SI LA CHINE M ETAIT CONTEE;DOCUMENTAIRE;;
187;1900011788;056040;BAARA;DRAME;;
188;1900012008;056769;BATCH 81;DRAME;;12A
189;1900012112;057090;KISAPMATA;DRAME;;TPA
190;1900012120;057115;BLACK JOURNAL;HORREUR;;TPA
191;1900012162;057271;ANNEES 80;DOCUMENTAIRE;;
192;1900012221;057440;L AIR DU CRIME;DRAME;;
193;1900012317;057620;QUARTIERS D HIVER;DOCUMENTAIRE;;
194;1900012327;057642;BLACK COBRA;AVENTURES;;TP
195;1900012341;057693;LE TRESOR DE L ATLANTIDE;AVENTURES;;
196;1900012391;057870;SUMA;DOCUMENTAIRE;;
197;1900012405;057940;ANANAS;DOCUMENTAIRE;;
198;1900012431;058027;LA JONQUE CHINOISE;AVENTURES;;
199;1900012433;058030;LE LYNX KOUNAK SORT DU SENTIER;DOCUMENTAIRE;;
200;1900012441;058055;PROFESSION AGRICULTRICE;DOCUMENTAIRE;;
201;1900012468;058152;DESIR;XPORNO;;
202;1900012575;058489;LE VOYAGEUR DES QUATRE SAISONS;DRAME;;
203;1900012635;058664;VERTIGE DE L AMOUR;COMEDIE;;
204;1900012691;058867;SAN BABILA : UN CRIME INUTILE;HISTOIRE;;12A
205;1900012711;058985;MARATHON LOVE;XPORNO;;
206;1900012763;059151;THE AMBASSADOR;DOCUMENTAIRE;;
207;1900012820;059317;DU SEL SUR LA PEAU;COMEDIE;;
208;1900012832;059373;FULL POWER;COMEDIE;;
209;1900012834;059375;L AUBE;DRAME;;
210;1900012883;059533;LAURE ET JACKIE;DRAME;;
211;1900012885;059539;LE DERNIER PLAYBOY;DRAME;;TP
212;1900013039;060096;GENTILLE ALOUETTE;COMEDIE;;
213;1900013055;060154;TOTAL RECALL;AVENTURES;;
214;1900013109;060307;SOEURS PECHERESSES;XPORNO;;
215;1900013156;060430;LA REVANCHE DE DORIS;XPORNO;;16
216;1900013280;060833;NOTRE NAZI;DOCUMENTAIRE;;
217;1900013328;060997;UNE PORTE SUR LE CIEL;DRAME;;TP
218;1900013373;061153;LETTERS HOME;DRAME;;TP
219;1900013396;061242;MISSION SIDA;DOCUMENTAIRE;;
220;1900013414;061291;LEILA ET LES LOUPS;DRAME;;
221;1900013436;061371;RENDEZ VOUS DANS LE LIT DE LILI;XPORNO;;
222;1900013446;061395;BLACK;DRAME;;
223;1900013469;061640;;DRAME;;
224;1900013580;061972;RAVI;COMEDIE DRAMATIQUE;;
225;1900013683;062642;CROSSROADS LA CROISEE DES CHEMINS;COMEDIE DRAMATIQUE;;
226;1900013684;062650;CABRA MARCADO PARA MORRER;DOCUMENTAIRE;;
227;1900013739;062973;LE TESTAMENT DU DOCTEUR MOREAU;SCIENCE FICTION;;
228;1900013750;063002;CAFTAN D AMOUR CONSTELLE DE PASSION;DRAME;;
229;1900013855;063520;VOYAGE AU CENTRE DE LA TERRE;AVENTURES;;
230;1900013867;063849;LA CHOUETTE AVEUGLE;FANTASTIQUE;;
231;1900013886;064176;ELVIRE JOUVET 40;DOCUMENTAIRE;;
232;1900013925;064283;CASANOVA;DRAME;;
233;1900013973;064862;UN JOUR DEHORS;COMEDIE;;
234;1900014044;065450;LA SIGNORA DELLA NOTTE;DRAME;;TP
235;1900014045;065479;LA PADRONA E SERVITA;DRAME;;
236;1900014100;065615;L ECOLE DES INFIRMIERES;XPORNO;;
237;1900014198;066467;NUDE ODEON;DOCUMENTAIRE;;
238;1900014199;066468;SORBOLE CHE ROMAGNOLA;COMEDIE;;TP
239;1900014222;066562;TANT PIS SI JE MEURS;DRAME;;
240;1900014257;066679;DEMONS DANS LE JARDIN;DRAME;;TP
241;1900014298;066784;AOUT;DRAME;;
242;1900014308;066867;SUR LES PAS DE MONSIEUR HULOT;DOCUMENTAIRE;;
243;1900014331;066931;LES AMANTS  DU PONT NEUF;DRAME;;
244;1900014352;067009;MANIAC KILLER;POLICIER;;
245;1900014475;067457;BABY DOLL;DRAME;;
246;1900014499;067625;REVER DE VIVRE;DRAME;;
247;1900014542;067776;CEARA;DRAME;;
248;1900014634;068097;LA BAIE D'EMERAUDE;DRAME;;
249;1900014642;068132;COMME DES BETES;AVENTURES;;
250;1900014677;068254;POUSSIERES D'ETOILES;MUSICAL;;
251;1900014710;068395;24 HEURES A SAINT BARTHELEMY;DRAME;;
252;1900014734;068492;LES DISPARUS DE SAINT-AGIL;THRILLER;;
253;1900014745;068551;DRILLER KILLER;HORREUR;;
254;1900014760;068614;LES PETITS PAS;COMEDIE;;
255;1900014797;068743;FUGUE A MARIE GALANTE;DRAME;;
256;1900014881;068944;COMME TU ME VEUX;COMEDIE;;TP
257;1900014931;069152;LA POLOGNE COMME JAMAIS VUE A L'OUEST;DOCUMENTAIRE;;
258;1900014952;069227;LA VOIX DE LA TERREUR;THRILLER;;
259;1900014954;069229;LA CLEF;THRILLER;;
260;1900014957;069232;LA FEMME EN VERT;DRAME;;
261;1900014960;069235;LE TRAIN DE LA MORT;THRILLER;;
262;1900014962;069237;SHERLOCK HOLMES ET L'ARME SECRETE;THRILLER;;
