con_id,titre,description,texte,directeur,producteur,casting,date_production,compagny_production,scenariste,langue_de_production,palmares,pays_de_production,content_url,date_debut_droits,date_fin_droits,image
7197806,Les demoiselles de rochefort,"Rochefort. Mme Yvonne Garnier tient un café. Ses filles, Delphine et Solange, donnent respectivement des cours de danse et de musique. Yvonne a refusé autrefois d'épouser l'homme qu'elle aimait, parce qu'il s'appelait Monsieur Dame. Ses filles ne l'ont jamais su. Or, il se trouve que Solange entretient avec celui-ci des rapports professionnels : M. Dame va lui faire rencontrer le compositeur américain Andy Miller, qu'elle admire énormément. Delphine attend le Prince charmant ; or, un jeune marin nommé Maxence, peintre à ses heures, a fait d'imagination le portrait de sa princesse. Coïncidence : celui-ci ressemble trait pour trait à Delphine. Tout ce monde joue à cache-cache, se croise sans se connaître ou se reconnaître, prétexte à couplets, duos, trios, choeurs et chorégraphie, Entrent en scène divers perturbateurs, tels les joyeux forains ou l'égocentrique amoureux de Delphine. Mais, comme il se doit, Yvonne deviendra, bon gré, mal gré, Madame Dame ; Solange tombera amoureuse, sana savoir qui il est, du talentueux Andy ; et Maxence, faisant du stop, arrêtera le camion des forains avec lequel, justement, Delphine partait pour Paris. © Les fiches du cinéma 2001","Rochefort. Mme Yvonne Garnier tient un café. Ses filles, Delphine et Solange, donnent respectivement des cours de danse et de musique. Yvonne a refusé autrefois d'épouser l'homme qu'elle aimait, parce qu'il s'appelait Monsieur Dame. Ses filles ne l'ont jamais su. Or, il se trouve que Solange entretient avec celui-ci des rapports professionnels : M. Dame va lui faire rencontrer le compositeur américain Andy Miller, qu'elle admire énormément. Delphine attend le Prince charmant ; or, un jeune marin nommé Maxence, peintre à ses heures, a fait d'imagination le portrait de sa princesse. Coïncidence : celui-ci ressemble trait pour trait à Delphine. Tout ce monde joue à cache-cache, se croise sans se connaître ou se reconnaître, prétexte à couplets, duos, trios, choeurs et chorégraphie, Entrent en scène divers perturbateurs, tels les joyeux forains ou l'égocentrique amoureux de Delphine. Mais, comme il se doit, Yvonne deviendra, bon gré, mal gré, Madame Dame ; Solange tombera amoureuse, sana savoir qui il est, du talentueux Andy ; et Maxence, faisant du stop, arrêtera le camion des forains avec lequel, justement, Delphine partait pour Paris. © Les fiches du cinéma 2001",Jacques Demy,Jacques Demy,"Catherine Deneuve, Françoise Dorléac, Anne Germain",1967,Madeleine Films / Parc Film,Jacques Demy,Français,,France,https://www.france.tv/films/films-comedie/7197806-les-demoiselles-de-rochefort.html#at_medium=4&at_offre=1&at_platform=28&at_campaign=ministere_culture_2025,2025-05-25 04:00:00,2025-08-29 21:59:00,https://medias.france.tv/_BQsB1DvRXuhc1XiG2_w5MxQQk8/2500x1406/filters:quality(85)/g/t/z/phpl80ztg.jpg
7213352,Les enfants des autres,"A 40 ans, Rachel est une femme comblée, que ce soit professionnellement, avec son emploi de professeur dans un lycée, ou personnellement. Jusqu'au jour où elle tombe amoureuse d'Ali, père célibataire d'une petite Leila, âgée de 4 ans. Rachel s'attache et tombe sous le charme de l'enfant. Elle ne tarde pas à s'en occuper comme si c'était la sienne et commence à ressentir des sentiments forts pour la petite fille. Mais cet amour comporte des risques puisque l'affection qu'elle lui porte peut vite se heurter à un mur si jamais le couple est amené à rompre. A ce moment-là, elle perdra alors aussi ce lien avec Leila...","A 40 ans, Rachel est une femme comblée, que ce soit professionnellement, avec son emploi de professeur dans un lycée, ou personnellement. Jusqu'au jour où elle tombe amoureuse d'Ali, père célibataire d'une petite Leila, âgée de 4 ans. Rachel s'attache et tombe sous le charme de l'enfant. Elle ne tarde pas à s'en occuper comme si c'était la sienne et commence à ressentir des sentiments forts pour la petite fille. Mais cet amour comporte des risques puisque l'affection qu'elle lui porte peut vite se heurter à un mur si jamais le couple est amené à rompre. A ce moment-là, elle perdra alors aussi ce lien avec Leila...",Rebecca Zlotowski,,"Virginie Efira, Roschdy Zem, Chiara Mastroianni, Callie Ferreira-Goncalves, Yamée Couture, Henri-Noël Tabary, Victor Lefebvre, Sébastien Pouderoux",2022,Les Films Velvet / France 3 Cinéma / Canal+ / Ciné@,Rebecca Zlotowski,Français,Lumières Award 2023,France,https://www.france.tv/films/films-drame/7213352-les-enfants-des-autres.html#at_medium=4&at_offre=1&at_platform=28&at_campaign=ministere_culture_2025,2025-06-15 20:49:25,2025-06-22 20:49:25,https://medias.france.tv/-aHs8k6k4Plgq2JtmI3CaY_dbZI/2500x1406/filters:quality(85)/z/9/u/phpvnpu9z.jpg
4952422,"Calamity, une enfance de Martha Jane Cannary","<p>Cristal d'Annecy : Grand Prix du long métrage (Festival International du Film d'Animation d'Annecy). En 1863, Martha Jane, sa petite soeur et son petit frère encore bébé font route, dans un convoi, avec leur père vers l'Oregon. Tombé du chariot, celui-ci se blesse aux côtes et à la jambe. Malgré la désapprobation d'Abraham, le chef de convoi, Martha Jane veut alors apprendre à conduire le chariot familial. Elle va mettre un pantalon et se couper les cheveux. Faussement accusée de vol, elle doit fuir. Elle rencontre sur sa route un jeune esclave et fait route avec lui. Celui-lui pense qu'elle est un garçon. Ensemble, ils vivent de folles aventures. Sous le nom de Calamity Jane et habillée en fille va travailler pour une femme étonnante...</p>","<p>Cristal d'Annecy : Grand Prix du long métrage (Festival International du Film d'Animation d'Annecy). En 1863, Martha Jane, sa petite soeur et son petit frère encore bébé font route, dans un convoi, avec leur père vers l'Oregon. Tombé du chariot, celui-ci se blesse aux côtes et à la jambe. Malgré la désapprobation d'Abraham, le chef de convoi, Martha Jane veut alors apprendre à conduire le chariot familial. Elle va mettre un pantalon et se couper les cheveux. Faussement accusée de vol, elle doit fuir. Elle rencontre sur sa route un jeune esclave et fait route avec lui. Celui-lui pense qu'elle est un garçon. Ensemble, ils vivent de folles aventures. Sous le nom de Calamity Jane et habillée en fille va travailler pour une femme étonnante...</p>",Rémi Chayé,,"Salomé Boulven, Alexandra Lamy, Alexis Tomassian, Jochen Hägele, Léonard Louf, Santiago Barban, Damien Witecka, Bianca Tomassian",2020,Maybe Movies / Noerlum Studios / 2 minutes / France 3 Cinéma / 22D Music / Canal+ / Ciné+ / France Télévisions / Gébéka Films / Cinémage 13 / Cinéventure 4 / Cofinova 15 / Indéfilms 7 / SG Image 2017 / La Région Île-de-France,"Rémi Chayé, Sandra Tosello, Fabrice De Costil",Français,Festival International du Film d'Animation d'Annecy 2020 - Cristal d'Annecy : Grand Prix du long métrage :. SCHLiNGEL International Film Festival 2020,"France, Danemark",https://www.france.tv/enfants/4952422-calamity-une-enfance-de-martha-jane-cannary.html#at_medium=4&at_offre=1&at_platform=28&at_campaign=ministere_culture_2025,2025-06-14 18:18:54,2025-07-14 18:18:54,https://medias.france.tv/qzgYxwUlxcrrd5YlpuRq_Oz3UtI/2500x1406/filters:quality(85)/b/r/k/phpgsckrb.jpg
7204796,Interdit aux chiens et aux Italiens,"En ce début du XXe siècle, Luigi Ughetto et ses frères doivent déserter, comme chaque hiver, leur village d'Ughettera, dans le Piémont italien, et traverser la frontière pour tenter de trouver du travail. Leur terre agricole ne leur permet pas de se nourrir en période hivernale, ce qui les amène à venir en France où ils oeuvrent en tant que saisonniers ou sur les chantiers. Les Italiens de la région ont la réputation d'être des travailleurs compétents et surtout de savoir tout faire, ce qui est très recherché par les employeurs. Face aux difficultés prévues à long terme, Luigi décide soudain d'offrir une nouvelle vie à sa famille...","En ce début du XXe siècle, Luigi Ughetto et ses frères doivent déserter, comme chaque hiver, leur village d'Ughettera, dans le Piémont italien, et traverser la frontière pour tenter de trouver du travail. Leur terre agricole ne leur permet pas de se nourrir en période hivernale, ce qui les amène à venir en France où ils oeuvrent en tant que saisonniers ou sur les chantiers. Les Italiens de la région ont la réputation d'être des travailleurs compétents et surtout de savoir tout faire, ce qui est très recherché par les employeurs. Face aux difficultés prévues à long terme, Luigi décide soudain d'offrir une nouvelle vie à sa famille...",Alain Ughetto,,"Ariane Ascaride, Stefano Paganini, Diego Giuliani, Christophe Gatto, Laurent Pasquier, Laura Devoti, Bruno Fontaine, Thierry Buenafuente",2022,Les Films du Tambour de Soie / Les Films du Tambour de Soie / Vivement Lundi / Foliascope / Graffiti Film / Nadasdy Film / Lux Fugit Film / Ocidental Filmes / Auvergne Rhône-Alpes Cinéma / Radio Télévision Suisse (RTS) / Umedia / uFund / Radio-télévi,"Alexis Galmot, Anne Paschetta, Alain Ughetto",Français,Festival International du Film d'Animation d'Annecy 2022,"France, Italie, Suisse, Belgique, Portugal",https://www.france.tv/films/films-comedie/7204796-interdit-aux-chiens-et-aux-italiens.html#at_medium=4&at_offre=1&at_platform=28&at_campaign=ministere_culture_2025,2025-06-12 20:07:15,2025-06-19 20:09:00,https://medias.france.tv/ga9QeamSEeAb_U1FeLWpuScheZs/2500x1406/filters:quality(85)/x/b/t/php0jstbx.jpg
3104283,Les invisibles ,"<p>Elles sont des dizaines, d'&acirc;ge m&ucirc;r, pass&eacute;es par la rue, la violence, la prison, accueillies &agrave; l'Envol, un centre de jour pour femmes SDF, qu'une mairie du Nord veut fermer. Audrey, H&eacute;l&egrave;ne, Manu, les travailleuses sociales du Centre veulent rapidement trouver du travail &agrave; ""Lady Di"", ""Brigitte Bardot"", ""La Cicciolina"". Elle vont user de subterfuges, le mensonge, la falsification, mais aussi monter des ateliers de prise de confiance, et effectuer des entretiens d'embauche &agrave; blanc. L'Envol se mue de facto en centre d'accueil 24/24h, en toute ill&eacute;galit&eacute;. La joyeuse bande, qui ne manque pas de courage, se retrouve dans des situations cocasses,,,</p>","<p>Elles sont des dizaines, d'&acirc;ge m&ucirc;r, pass&eacute;es par la rue, la violence, la prison, accueillies &agrave; l'Envol, un centre de jour pour femmes SDF, qu'une mairie du Nord veut fermer. Audrey, H&eacute;l&egrave;ne, Manu, les travailleuses sociales du Centre veulent rapidement trouver du travail &agrave; ""Lady Di"", ""Brigitte Bardot"", ""La Cicciolina"". Elle vont user de subterfuges, le mensonge, la falsification, mais aussi monter des ateliers de prise de confiance, et effectuer des entretiens d'embauche &agrave; blanc. L'Envol se mue de facto en centre d'accueil 24/24h, en toute ill&eacute;galit&eacute;. La joyeuse bande, qui ne manque pas de courage, se retrouve dans des situations cocasses,,,</p>",Louis-Julien Petit,,"Audrey Lamy, Corinne Masiero, Noémie Lvovsky, Déborah Lukumuena, Pablo Pauly, Sarah Suco, Brigitte Sy, Patricia Mouchon",2018,Vertigo Films Distribution / Elemiah / Apollo Films / France 3 Cinéma / Filmalac Information / Pictanovo / Région Hauts-de-France / France Télévisions / Canal+ / RMC Story / Centre national du cinéma et de l’image animée (CNC),Louis-Julien Petit,Français,,France,https://www.france.tv/france-2/les-invisibles/3104283-les-invisibles.html#at_medium=4&at_offre=1&at_platform=28&at_campaign=ministere_culture_2025,2025-06-09 20:42:39,2025-06-16 20:47:00,https://medias.france.tv/jFpDXA1-vwiPJPtCYUqxy7AVSd4/2500x1406/filters:quality(85)/9/s/a/phpovkas9.jpg
7180625,Tout le monde aime Jeanne,"Tout semble se dérouler comme prévu pour l'ingénieur et chef d'entreprise Jeanne Mayer, jusqu'au jour où un projet écologique qui lui tient à coeur et dans lequel elle a beaucoup investi tourne au fiasco. Déprimée et surendettée, Jeanne doit se rendre à Lisbonne pour vendre l'appartement de sa mère qui s'est suicidée un an plus tôt. A l'aéroport, elle tombe sur Jean, qu'elle n'avait pas vu depuis le lycée et qui s'avère bien envahissant...","Tout semble se dérouler comme prévu pour l'ingénieur et chef d'entreprise Jeanne Mayer, jusqu'au jour où un projet écologique qui lui tient à coeur et dans lequel elle a beaucoup investi tourne au fiasco. Déprimée et surendettée, Jeanne doit se rendre à Lisbonne pour vendre l'appartement de sa mère qui s'est suicidée un an plus tôt. A l'aéroport, elle tombe sur Jean, qu'elle n'avait pas vu depuis le lycée et qui s'avère bien envahissant...",Céline Devaux,,"Blanche Gardin, Laurent Lafitte, Maxence Tual, Nuno Lopes, Marthe Keller, Samira Sedira, Patty Hannock, Pedro Lacerda",2022,Les Films du Worso / O Som e a Fúria / France 3 Cinéma / Scope Pictures / Canal+ / Ciné+ / France Télévisions / Rádio e Televisão de Portugal (RTP) / La Banque Postale Image 14 / Indéfilms 9 / Indéfilms 10 / Cinéventure 6 / Centre national du cinéma ,Céline Devaux,Français,,"France, Portugal",https://www.france.tv/films/films-comedie/7180625-tout-le-monde-aime-jeanne.html#at_medium=4&at_offre=1&at_platform=28&at_campaign=ministere_culture_2025,2025-06-07 20:32:55,2025-07-07 20:32:55,https://medias.france.tv/yJe9IsHJHes0gUeAIvSE9OHfMS0/2500x1406/filters:quality(85)/x/i/l/phpoyylix.jpg
7198775,Pattie et la colère de Poséidon,"Dans l'Antiquité, à Yolcos, une pittoresque cité portuaire de Grèce. Après une période paisible et fort prospère, la population doit faire face à la soudaine colère de Poséidon, inexplicablement déterminé à raser la ville et ses habitants. Face à cette menace, une souris adepte de l'aventure et un chat téméraire décident de s'associer à Jason et à ses Argonautes pour contrer les plans machiavéliques du dieu des mers et des océans. Rapidement, le petit groupe comprend que cette guerre ne sera gagnée qu'à la seule condition de venir à bout des nombreuses créatures effrayantes citées dans la mythologie locale...","Dans l'Antiquité, à Yolcos, une pittoresque cité portuaire de Grèce. Après une période paisible et fort prospère, la population doit faire face à la soudaine colère de Poséidon, inexplicablement déterminé à raser la ville et ses habitants. Face à cette menace, une souris adepte de l'aventure et un chat téméraire décident de s'associer à Jason et à ses Argonautes pour contrer les plans machiavéliques du dieu des mers et des océans. Rapidement, le petit groupe comprend que cette guerre ne sera gagnée qu'à la seule condition de venir à bout des nombreuses créatures effrayantes citées dans la mythologie locale...","David Alaux, Eric Tosti, Jean-François Tosti",,Ellie Zeiler,2022,TAT Productions / Apollo Films / France 3 Cinéma / France Télévisions / Canal+,"David Alaux, Eric Tosti, Jean-François Tosti",Français,,France,https://www.france.tv/films/films-comedie/7198775-pattie-et-la-colere-de-poseidon.html#at_medium=4&at_offre=1&at_platform=28&at_campaign=ministere_culture_2025,2025-06-07 18:31:06,2025-07-07 18:31:06,https://medias.france.tv/T1ibK3fADv44caQPZ8VPIS-blD8/2500x1406/filters:quality(85)/1/t/w/phpaquwt1.jpg
7190300,"Les Milles, le train de la liberté","Mai 1940. Depuis la déclaration de la guerre avec l'Allemagne, la France interne tous les étrangers se trouvant sur son territoire dans la crainte de laisser agir d'éventuels espions. Chapelier dans le civil et capitaine de réserve, Charles Perrochon est nommé commandant du camp des Milles, près d'Aix-en-Provence. Il s'acquitte consciencieusement de sa tâche, sans un regard pour la détresse des internés, pour la plupart des réfugiés, qui ont tout à craindre des nazis et qui avaient cru trouver un refuge sûr en France. Peu à peu, cependant, les suppliques des prisonniers, la déliquescence morale de l'état-major et les explications d'une journaliste américaine lui ouvrent les yeux...","Mai 1940. Depuis la déclaration de la guerre avec l'Allemagne, la France interne tous les étrangers se trouvant sur son territoire dans la crainte de laisser agir d'éventuels espions. Chapelier dans le civil et capitaine de réserve, Charles Perrochon est nommé commandant du camp des Milles, près d'Aix-en-Provence. Il s'acquitte consciencieusement de sa tâche, sans un regard pour la détresse des internés, pour la plupart des réfugiés, qui ont tout à craindre des nazis et qui avaient cru trouver un refuge sûr en France. Peu à peu, cependant, les suppliques des prisonniers, la déliquescence morale de l'état-major et les explications d'une journaliste américaine lui ouvrent les yeux...",Sébastien Grall,,"Jean-Pierre Marielle, Ticky Holgado, Rüdiger Vogler, Philippe Noiret, Kristin Scott Thomas, Jean-Marie Winling, François Berléand, François Perrot",1995,Blue Films / Re Production / Heritage Films / Studio Babelsberg / France 2 Cinéma / Cofimage 5 / Canal+ / Centre national du cinéma et de l’image animée (CNC) / Eurimages / European Script Fund / Agencja Produkcji Filmowej / Telewizja Polska (TVP) / ,"Sébastien Grall, Jean-Claude Grumberg",Français,Shanghai International Film Festival 1995 - Golden Goblet : Best Actor : Jean-Pierre Marielle,"France, Allemagne, Pologne",https://www.france.tv/films/films-suspense/7190300-les-milles-le-train-de-la-liberte.html#at_medium=4&at_offre=1&at_platform=28&at_campaign=ministere_culture_2025,2025-06-06 20:47:25,2025-07-06 20:47:25,https://medias.france.tv/_AnNpnijQQI_WQaNVNTu4jXQFoc/2500x1406/filters:quality(85)/n/h/f/phpmqafhn.jpg
7180493,Une place sur la Terre,"Antoine, photographe joyeusement désabusé, est comme un père pour Matéo, le jeune fils de sa voisine souvent absente, auquel il donne une éducation fantaisiste. Il lui raconte des contes comme personne, et surtout celui de Cendrillon, qu'il a réécrit à sa façon, beaucoup plus drôle. S'il donne de lui une image de pince sans-rire, Antoine cache un mal-être chronique. Un matin, des notes de piano venues de l'immeuble d'en face captent son attention. La musique provient du studio d'Elena, étudiante idéaliste et sans concession. Il ne se doute pas que la jeune femme, dont les ongles font les frais de son angoisse, va bouleverser sa vie à jamais...","Antoine, photographe joyeusement désabusé, est comme un père pour Matéo, le jeune fils de sa voisine souvent absente, auquel il donne une éducation fantaisiste. Il lui raconte des contes comme personne, et surtout celui de Cendrillon, qu'il a réécrit à sa façon, beaucoup plus drôle. S'il donne de lui une image de pince sans-rire, Antoine cache un mal-être chronique. Un matin, des notes de piano venues de l'immeuble d'en face captent son attention. La musique provient du studio d'Elena, étudiante idéaliste et sans concession. Il ne se doute pas que la jeune femme, dont les ongles font les frais de son angoisse, va bouleverser sa vie à jamais...",Fabienne Godet,,"Benoît Poelvoorde, Max Baissette de Malglaive, Ariane Labed, Thomas Coumans, Brigitte Sy, Catherine Demaiffe, Jacques Spiesser, Julie Moulier",2013,Le Bureau / Versus Production / France 2 Cinéma / Canal+ / Ciné+ / France Télévisions / La Wallonie / Tax Shelter du Gouvernement Fédéral Belge / Inver Invest / Cofimage 23 / Celluloid Dreams / ARP Sélection / Media Programme of the European Communit,"Fabienne Godet, Claire Mercier, Franck Vassal",Français,,"France, Belgique",https://www.france.tv/films/films-drame/7180493-une-place-sur-la-terre.html#at_medium=4&at_offre=1&at_platform=28&at_campaign=ministere_culture_2025,2025-05-31 20:35:38,2025-06-30 20:35:38,https://medias.france.tv/MSBl1LaYEIIbeQJaFmcb6LMje4Q/2500x1406/filters:quality(85)/6/b/n/phpfrgnb6.jpg
7156352,As bestas,"Olga et Antoine, un couple qui s'est installé en Galice depuis quelques années, vivent de la terre qu'ils travaillent. A côté de cela, ils restaurent également de vieilles demeures afin que le village se développe. Cherchant au maximum à préserver la nature, ils oeuvrent de manière écoresponsable. L'arrivée d'éoliennes va créer un conflit avec leurs voisins, qui s'y opposent fermement. Source de tensions, ce sujet va amener les relations entre eux jusqu'à un point de non-retour, chacun campant sur ses positions. Le harcèlement moral subit par les Français va entraîner de lourdes conséquences...","Olga et Antoine, un couple qui s'est installé en Galice depuis quelques années, vivent de la terre qu'ils travaillent. A côté de cela, ils restaurent également de vieilles demeures afin que le village se développe. Cherchant au maximum à préserver la nature, ils oeuvrent de manière écoresponsable. L'arrivée d'éoliennes va créer un conflit avec leurs voisins, qui s'y opposent fermement. Source de tensions, ce sujet va amener les relations entre eux jusqu'à un point de non-retour, chacun campant sur ses positions. Le harcèlement moral subit par les Français va entraîner de lourdes conséquences...",Rodrigo Sorogoyen,,"Marina Foïs, Denis Ménochet, Luis Zahera, Diego Anido, Marie Colomb, Luisa Merelas, José Manuel Fernández y Blanco, Federico Pérez Rey",2022,Arcadia Motion Pictures / Caballo Films / Cronos Entertainment / Le Pacte / Canal+ / Eurimages / Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA) / Movistar+ / Radio Televisión Española (RTVE) / Ciné+ / Institut Català de les Empres,"Isabel Peña, Rodrigo Sorogoyen",Espagnol,César 2023. Lumières Award 2023. Goya Awards 2023. FEST 2023. San Sebastián International Film Festival 2022. Tokyo International Film Festival 2022,"Espagne, France",https://www.france.tv/films/festival-de-cannes/7156352-as-bestas.html#at_medium=4&at_offre=1&at_platform=28&at_campaign=ministere_culture_2025,2025-05-23 21:13:30,2025-06-22 21:13:30,https://medias.france.tv/TpZfaKVEYefHtN0RWlw3i9X8GUE/2500x1406/filters:quality(85)/b/m/j/phpuisjmb.jpg
